word,freq
think,38
people,38
well,36
going,35
know,32
donald,31
said,30
country,27
women,25
would,23
president,23
want,23
make,23
get,23
jobs,18
kind,16
us,15
work,15
need,14
help,14
american,13
way,13
one,13
really,12
come,12
clear,12
let,12
chris,11
no,11
go,11
years,11
also,11
america,11
went,11
tax,11
debt,11
court,10
election,10
stand,10
first,10
new,10
like,10
government,10
could,10
security,10
economy,10
time,10
take,10
say,9
united,9
see,9
great,9
look,9
back,9
families,9
world,9
undocumented,9
plan,9
got,9
immigrants,9
