speaker,numSpeeches,interrupted,avgWordsPerSpeech,avgWordLen,avgSentLen,sentiment
Trump,92,13,82.77173913043478,4.080499015101773,11.66156202143951,0.06218043478260868
Clinton,62,13,107.56451612903226,4.1830859199280255,18.024324324324326,0.30205000000000004
Moderator,145,15,18.627586206896552,4.491299518696779,9.612099644128113,0.14606620689655175
