word,freq
going,52
people,49
know,39
country,35
look,34
like,30
say,27
hillary,27
said,24
one,24
think,24
great,22
things,21
take,20
get,20
isis,19
tell,19
well,18
want,18
years,17
see,17
no,17
many,17
disaster,17
obama,17
'll,17
money,17
russia,17
bad,16
states,16
president,16
would,16
taxes,16
make,15
way,15
clinton,15
never,15
really,14
done,14
talk,14
thing,14
back,13
united,13
something,13
go,13
lot,13
made,12
nothing,12
percent,11
inner,11
cities,11
much,11
wants,11
actually,10
care,10
tremendous,10
time,10
women,10
big,10
ca,10
