word,freq
going,77
people,53
country,30
know,27
say,26
think,25
look,25
get,24
many,23
well,22
way,21
take,21
no,20
great,19
hillary,19
go,19
said,18
bad,18
much,18
percent,18
right,17
mosul,17
one,16
want,15
back,15
money,15
tell,14
wants,14
years,14
see,13
iran,13
happened,12
millions,12
let,12
would,12
make,12
borders,12
obama,12
trade,12
putin,12
jobs,12
believe,11
states,11
'll,11
border,11
never,10
second,10
wanted,10
nobody,10
disaster,10
big,10
things,10
isis,10
first,9
ever,9
need,9
amendment,9
president,9
really,9
give,9
