speaker,numSpeeches,interrupted,avgWordsPerSpeech,avgWordLen,avgSentLen,sentiment
Trump,129,16,69.75193798449612,4.011113580795732,12.045515394912986,0.02783565891472869
Clinton,94,31,69.5,4.212153681310271,15.122685185185185,0.12247765957446813
Moderator,97,37,20.515463917525775,4.421608040201005,10.05050505050505,0.09220927835051548
