word,freq
people,46
want,37
donald,34
think,33
get,29
lot,28
country,26
president,26
said,25
well,24
would,24
know,23
going,19
us,16
one,16
first,16
insurance,16
children,14
go,14
care,14
health,14
important,13
work,13
like,13
way,13
women,13
no,13
make,12
great,12
america,12
time,12
never,12
court,12
look,11
trump,11
let,11
right,11
take,11
got,11
years,11
supreme,11
campaign,10
every,10
something,10
question,9
else,9
american,9
maybe,9
million,9
part,9
see,9
election,9
yes,8
try,8
working,8
americans,8
sure,8
much,8
back,8
also,8
