word,freq
secretary,51
clinton,50
trump,46
mr.,44
want,34
let,21
going,21
question,18
right,18
sir,17
first,13
two,13
president,13
fact,12
would,12
plan,12
debate,11
court,11
last,11
thank,11
no,10
get,10
go,10
ask,10
say,9
one,9
country,9
minutes,9
said,9
well,9
like,9
open,8
segment,8
wait,8
hold,8
folks,8
final,7
next,7
ok,7
please,7
questions,6
see,6
issue,6
election,6
'd,6
even,6
make,6
money,6
aleppo,6
debates,5
topic,5
effect,5
take,5
end,5
got,5
move,5
people,5
time,5
since,5
percent,5
